line	mccatmus	tridis	transkribus	correct
L001	peas una tersd pesticao urs nrsem	ucruna terreresticaoum aoue		peas una tersd pesticao urs nrsem
L002	eaunee miccssitons Gerensai nuneupace	sacence incentoris Gerentaon nuncum		eaunee miccssitons Gerensai nuneupace
L003	elumps delle ns sa bien eni oslerce	Escamo Fel as moien cui wleret		elumps delle ns sa bien eni oslerce
L004	eviq mocions doi Guouder serahmy	dios aoribn dai Crbuls terafen		eviq mocions doi Guouder serahmy
L005	avalix dui fri put psi eireconiter	elalde dori Jacar s it ppsi enrecomite		avalix dui fri put psi eireconiter
L006	nobalafatn.	varsalahata		nobalafatn.
L007	Dem avnval n ssasnum quatuor aec m	tem annual mistaem gaatuor ui in		Dem avnval n ssasnum quatuor aec m
L008	se resse débent Prepotitus girensen	zereke de bent Trerwtitut gevent		se resse débent Prepotitus girensen
L009	parscuns risbilast parochusllurate, et cas-	raisdus ristilase parorhusturiti, eccas		parscuns risbilast parochusllurate, et cas-
L010	pellanies S. Jad i Gerensidi procuvsiele	sellanus 5. Jaloi Gerensaki mo cuuisiel		pellanies S. Jad i Gerensidi procuvsiele
L011	bracimne selvere renet sinqulis annissle	bracione tuese tenet singulis annis te		bracimne selvere renet sinqulis annissle
L012	enses batoi rome scarer quirge miseure	tanus Entornoues staren que uiaqe misture		enses batoi rome scarer quirge miseure
L013	scexis, et m'y super peax una campi appel.	seedis , et milie super pera una campr alpet		scexis, et m'y super peax una campi appel.
L014	lati alla massina i terricons Gerenna	latiçina mastinas n territons Gerentra		lati alla massina i terricons Gerenna
L015	uni corèret à duions arotibns duPliero-	cai coleret a dnion pambas du Siero		uni corèret à duions arotibns duPliero-
L016	mon frcbelli a balia Uoni Reroneme miee	ii frebelli abalia Doni Herorini mie		mon frcbelli a balia Uoni Reroneme miee
L017	comti et abalinsbta ; it mair juete	comtrs et ab alia bata , nt mactes niata		comti et abalinsbta ; it mair juete
L018	cconsent	Constnt		cconsent
L019	arnis, anus qenro cot anmoalies in ter-	tivny, gkps eltnos tot anoudalias iner		arnis, anus qenro cot anmoalies in ter-
L020	MHashne	mista ttene		MHashne
L021	Demandis	Fernards		Demandis
