line	mccatmus	tridis	transkribus	correct
L001	Slraatione à M^r El A Ja domiis Monee ecles	ircatione à n A2 Jadruics Moneta eale		Slraatione à M^r El A Ja domiis Monee ecles
L002	La brice ffectr et at Mr entréfisiope obsigne	Jabnee Gecl dat W. Inmegnstons obtign		La brice ffectr et at Mr entréfisiope obsigne
L003	Jas  Serotitanr ⁊ s pras huitions dis bribu	Lar seroptann es ntras quitious dis tribee		Jas  Serotitanr ⁊ s pras huitions dis bribu
L004	pauperond huns lou Térenzarii matin	raupeions auns vel lerenzane mara		pauperond huns lou Térenzarii matin
L005	nicurg pannes septem parame dent	nitura Jannot lestem proire Vent		nicurg pannes septem parame dent
L006	n quibis es supputal vne saluilen aitrier	nbos so supputaa me caluiles diytale		n quibis es supputal vne saluilen aitrier
L007	2			2
L008	non cuse apparet e guilus et compistentre	non uihe aaparet en qitos et compntent		non cuse apparet e guilus et compistentre
L009	maria dus rabita f'oichun Pomseur garette	mana dus rabrta paritum Lompen Gube		maria dus rabita f'oichun Pomseur garette
L010	ronire pruperm .. loui nt & cuy confestion	armine pauserum) tou ut & cin Confestion		ronire pruperm .. loui nt & cuy confestion
L011	axparés qne a liptr esgi prterant.	axpares que al isho caga potema		axparés qne a liptr esgi prterant.
L012	plunt iten d. Tompeir cam quantibatem pecnie	Huat iten d . Gompeco cam quantitatem peiunis		plunt iten d. Tompeir cam quantibatem pecnie
L013	quam Mbestress. Aut epas le put pnvet protrest	quan Mestrist. orvekis tout fenbet frohest		quam Mbestress. Aut epas le put pnvet protrest
L014	intenirre et superion lattem recenariyscoa	intenor et mpernon Jattem recetarijs con		intenirre et superion lattem recenariyscoa
L015	rantis.	antis.		rantis.
L016	Geliquos nero fucbres, s qun snfement internt l	Getignas nero suctns, sigen Iufenent inuaat		Geliquos nero fucbres, s qun snfement internt l
L017	ce le biatione nisan celebrantat in har eu-	iele hatiore uildz ietebrantar mnal ll		ce le biatione nisan celebrantat in har eu-
L018	nomine d. Cabelle sa diem draguoss dietas trice	nomine  . Jadene sattem Fiaguns dietus il		nomine d. Cabelle sa diem draguoss dietas trice
L019	Je fotiaselt	Jeotiy cane		Je fotiaselt
L020	non retoitres. D. capelle sit valde fernis nec suefinu	um refsitres  capelle sit ualde tening nel mgi		non retoitres. D. capelle sit valde fernis nec suefinu
