line	mccatmus	tridis	transkribus	correct
L001	Balhatina ditta a cohrt.	Galhaina dicta a coarta.		Balhamina[?] ditta à coverta[?]
L002	si Lctro feg^le dlla detr falhaminon	Laro siguetao dlla dicta Falhamina		Gio: Pietro fig.o della detta Balhamina[?]
L003	Calsarirs moflie de dik	darra noque de dico		Catharina moglie de ditto Gio: Pietro
L004	Enhe	t		[skip]
L005	Mlargarit Liq. d'dute, Fataale6.	arqaita  o. PatalE		Margarita fig.a del ditto, Natali 6[?] aprile [?]
L006	penrrdrte dl cotrls figtre ce la pps	suedacto d coarto siquo della 		Bernardo[?] de coverto[?] fig.o della [...] Balhamina[?]
L007	locea meglie d'dst brnrdett	uera noqueddt brardt		Lucia moglie d'ditto Bernardo[?]
L008	4r			[skip]
L009	Hou min	a		[skip]
L010	ladre lorrhons dlla bagra prẽ d'hmelio.	ladco lurhono dela bayra med Saniha		[Jacomo?] Torchono[?] della bagra[?], padre d'famiglia
L011	Marparste ua mogtie.	uarqarita sua monal		Margarita sua moglie
L012	vare fj^e dl dit.	aae FDi.		Gioane fig.o del ditto
L013	taciacig.  lute.	talia 		Lucia fig.a del ditto
L014	D			[skip]
L015	⟦agua Pje d. Cd futa ali &. Aoe. 1167.	Eat suta alieo dihe 0z		[Angela?] fig.a del ditto, nata ali 8 d'8bre 163[?]
L016	⟦nte fiqeds ditt. Aats. ale it. mapio. i167.	ento Rrq  dicto . Rato . al dl Magio . 1b		[…] fig.o del ditto, nato ali [?] maggio 167[?]
L017	cat harinafi q^le dl ditt. Hataale 29. I5 trd. 115.	Callariia figuea de dcto . Paaali &. no 113z		Catharina[?] fig.a del ditto, Natali 24 settembre 169[?]
L018	Sriste fors.d' Raulind Vllie Canfris	bristofiro l Laaliad illi banten		Cristoforo d'Paulono[?] delli Garfui[?]
L019	Angale dite il bons dlle Cartuï	eaclo dato eleno Elli bartay		Gio: Angelo detto il Cono[?] delli Cortai[?]
L020	aco mistedlt barlug	alo punoda barey		Jacomino[?] delli Bartu[?]
L021	DO			[skip]
L022	4			[skip]
